0000004C, AMS_PackVoltage, 0.0
000000B0, StateBatteryPowerHV, 331.90000000000003
000000B0, TempCellMax, 156.0
000000B0, TempCellMin, 55.0
000000B0, StateBMS, Wait_System_Up
000000B0, VoltageBusHV, 0.0
000000B0, VoltageCellMax, 3.9131
000000B0, VoltageCellMin, 3.6941
000000B0, CurrentBusHV, 0.01
000000B0, VoltageCellMuxSelect, 4
000000B0, VoltageCell13, 3.7265
000000B0, VoltageCell14, 3.7265
000000B0, VoltageCell15, 3.7258
000000B2, AMS_PackVoltage, 525.58
000000B3, AdjustedVoltageCellMuxSelect, 4
000000B3, AdjustedVoltageCell13, 3.7265
000000B3, AdjustedVoltageCell14, 3.7265
000000B3, AdjustedVoltageCell15, 3.7258
000000B4, TempChannelMuxSelect, 4
000000B4, TempChannel13, 0.0
000000B4, TempChannel14, 0.0
000000B4, TempChannel15, 21.83
000000CE, VCU_wheelSpeed_RL, 0.0
000000CE, VCU_wheelSpeed_RR, 0.0
000000D0, RLSpeedKPH, 0.0
000000D0, RRSpeedKPH, 0.0
000000D0, FLSpeedKPH, 0.0
000000D0, FRSpeedKPH, 0.0
000000D2, TCTorqueMax, 3.392
000000D2, TCLeftSlip, -0.999
000000D2, TCRightSlip, -0.999
000000D2, TCTorqueAdjustment, 0.0
000000DE, VoltageCellMuxSelect, 5
000000DE, VoltageCell16, 3.73
000000DE, VoltageCell17, 3.7150000000000003
000000DE, VoltageCell18, 3.7831
000000E2, AdjustedVoltageCellMuxSelect, 5
000000E2, AdjustedVoltageCell16, 3.73
000000E2, AdjustedVoltageCell17, 3.7150000000000003
000000E2, AdjustedVoltageCell18, 3.7831
000000E3, TempChannelMuxSelect, 5
000000E3, TempChannel16, 0.0
000000E3, TempChannel17, 0.0
000000E3, TempChannel18, 0.0
000000F1, VCU_wheelSpeed_RL, 0.0
000000F1, VCU_wheelSpeed_RR, 0.0
000000F3, RLSpeedKPH, 0.0
000000F3, RRSpeedKPH, 0.0
000000F3, FLSpeedKPH, 0.0
000000F3, FRSpeedKPH, 0.0
000000F5, TCTorqueMax, 3.392
000000F5, TCLeftSlip, -0.999
000000F5, TCRightSlip, -0.999
000000F5, TCTorqueAdjustment, 0.0
00000114, VCU_wheelSpeed_RL, 0.0
00000114, VCU_wheelSpeed_RR, 0.0
00000116, RLSpeedKPH, 0.0
00000116, RRSpeedKPH, 0.0
00000116, FLSpeedKPH, 0.0
00000116, FRSpeedKPH, 0.0
00000118, VoltageBusHV, 0.0
00000118, VoltageCellMax, 3.9131
00000118, VoltageCellMin, 3.6941
00000118, CurrentBusHV, 0.01
00000118, TCTorqueMax, 3.392
00000118, TCLeftSlip, -0.999
00000118, TCRightSlip, -0.999
00000118, TCTorqueAdjustment, 0.0
0000011A, AMS_PackVoltage, 525.58
0000011D, StateBatteryChargeHV, 92.80000000000001
0000011D, StateBatteryHealthHV, 0.0
0000011D, StateBatteryPowerHV, 331.90000000000003
0000011D, TempCellMax, 156.0
0000011D, TempCellMin, 55.0
0000011D, StateBMS, Wait_System_Up
0000011D, VoltageCellMuxSelect, 6
0000011D, VoltageCell19, 3.7726
0000011D, VoltageCell20, 3.7742
0000011D, VoltageCell21, 3.7159
0000011F, AdjustedVoltageCellMuxSelect, 6
0000011F, AdjustedVoltageCell19, 3.7725
0000011F, AdjustedVoltageCell20, 3.7742
0000011F, AdjustedVoltageCell21, 3.7158
00000121, TempChannelMuxSelect, 6
00000121, TempChannel19, 0.0
00000121, TempChannel20, 0.0
00000121, TempChannel21, 0.0
00000137, VCU_wheelSpeed_RL, 0.0
00000137, VCU_wheelSpeed_RR, 0.0
00000139, RLSpeedKPH, 0.0
00000139, RRSpeedKPH, 0.0
00000139, FLSpeedKPH, 0.0
00000139, FRSpeedKPH, 0.0
0000013B, TCTorqueMax, 3.392
0000013B, TCLeftSlip, -0.999
0000013B, TCRightSlip, -0.999
0000013B, TCTorqueAdjustment, 0.0
00000143, VoltageCellMuxSelect, 7
00000143, VoltageCell22, 3.7271
00000143, VoltageCell23, 3.7269
00000143, VoltageCell24, 3.7255000000000003
00000144, AdjustedVoltageCellMuxSelect, 7
00000144, AdjustedVoltageCell22, 3.7272000000000003
00000144, AdjustedVoltageCell23, 3.7269
00000144, AdjustedVoltageCell24, 3.7255000000000003
00000149, TempChannelMuxSelect, 7
00000149, TempChannel22, 0.0
00000149, TempChannel23, 0.0
00000149, TempChannel24, 0.0
0000015A, VCU_wheelSpeed_RL, 0.0
0000015A, VCU_wheelSpeed_RR, 0.0
0000015C, RLSpeedKPH, 0.0
0000015C, RRSpeedKPH, 0.0
0000015C, FLSpeedKPH, 0.0
0000015C, FRSpeedKPH, 0.0
0000015E, TCTorqueMax, 3.392
0000015E, TCLeftSlip, -0.999
0000015E, TCRightSlip, -0.999
0000015E, TCTorqueAdjustment, 0.0
0000017D, VCU_wheelSpeed_RL, 0.0
0000017D, VCU_wheelSpeed_RR, 0.0
0000017F, VoltageBusHV, 0.01
0000017F, VoltageCellMax, 3.9128000000000003
0000017F, VoltageCellMin, 3.6941
0000017F, CurrentBusHV, 0.0
0000017F, RLSpeedKPH, 0.0
0000017F, RRSpeedKPH, 0.0
0000017F, FLSpeedKPH, 0.0
0000017F, FRSpeedKPH, 0.0
00000181, AMS_PackVoltage, 525.58
00000181, TCTorqueMax, 3.392
00000181, TCLeftSlip, -0.999
00000181, TCRightSlip, -0.999
00000181, TCTorqueAdjustment, 0.0
0000018A, StateBatteryChargeHV, 92.80000000000001
0000018A, StateBatteryHealthHV, 0.0
0000018A, StateBatteryPowerHV, 331.90000000000003
0000018A, TempCellMax, 156.0
0000018A, TempCellMin, 55.0
0000018A, StateBMS, Wait_System_Up
0000018A, VoltageCellMuxSelect, 8
0000018A, VoltageCell25, 3.7783
0000018A, VoltageCell26, 3.7291000000000003
0000018A, VoltageCell27, 3.6949
0000018C, AdjustedVoltageCellMuxSelect, 8
0000018C, AdjustedVoltageCell25, 3.7785
0000018C, AdjustedVoltageCell26, 3.729
0000018C, AdjustedVoltageCell27, 3.6942000000000004
0000018E, TempChannelMuxSelect, 8
0000018E, TempChannel25, 0.0
0000018E, TempChannel26, 0.0
0000018E, TempChannel27, 0.0
000001A0, VCU_wheelSpeed_RL, 0.0
000001A0, VCU_wheelSpeed_RR, 0.0
000001A2, RLSpeedKPH, 0.0
000001A2, RRSpeedKPH, 0.0
000001A2, FLSpeedKPH, 0.0
000001A2, FRSpeedKPH, 0.0
000001A4, TCTorqueMax, 3.392
000001A4, TCLeftSlip, -0.999
000001A4, TCRightSlip, -0.999
000001A4, TCTorqueAdjustment, 0.0
000001A6, VoltageCellMuxSelect, 9
000001A6, VoltageCell28, 3.8046
000001A6, VoltageCell29, 3.7731000000000003
000001A6, VoltageCell30, 3.7720000000000002
000001A8, AdjustedVoltageCellMuxSelect, 9
000001A8, AdjustedVoltageCell28, 3.8054
000001A8, AdjustedVoltageCell29, 3.7732
000001A8, AdjustedVoltageCell30, 3.7720000000000002
000001AA, TempChannelMuxSelect, 9
000001AA, TempChannel28, 21.409999999999997
000001AA, TempChannel29, 21.379999999999995
000001AA, TempChannel30, 21.439999999999998
000001C3, VCU_wheelSpeed_RL, 0.0
000001C3, VCU_wheelSpeed_RR, 0.0
000001C5, RLSpeedKPH, 0.0
000001C5, RRSpeedKPH, 0.0
000001C5, FLSpeedKPH, 0.0
000001C5, FRSpeedKPH, 0.0
000001C7, TCTorqueMax, 3.392
000001C7, TCLeftSlip, -0.999
000001C7, TCRightSlip, -0.999
000001C7, TCTorqueAdjustment, 0.0
000001D9, VoltageCellMuxSelect, 10
000001D9, VoltageCell31, 3.7699000000000003
000001D9, VoltageCell32, 3.7261
000001D9, VoltageCell33, 3.7247000000000003
000001DC, AdjustedVoltageCellMuxSelect, 10
000001DC, AdjustedVoltageCell31, 3.7695000000000003
000001DC, AdjustedVoltageCell32, 3.7262
000001DC, AdjustedVoltageCell33, 3.7247000000000003
000001DD, TempChannelMuxSelect, 10
000001DD, TempChannel31, 0.0
000001DD, TempChannel32, 0.0
000001DD, TempChannel33, 0.0
000001E6, VoltageBusHV, 0.01
000001E6, VoltageCellMax, 3.9129
000001E6, VoltageCellMin, 3.6942000000000004
000001E6, CurrentBusHV, 0.0
000001E6, VCU_wheelSpeed_RL, 0.0
000001E6, VCU_wheelSpeed_RR, 0.0
000001E8, AMS_PackVoltage, 525.58
000001E8, RLSpeedKPH, 0.0
000001E8, RRSpeedKPH, 0.0
000001E8, FLSpeedKPH, 0.0
000001E8, FRSpeedKPH, 0.0
000001EA, TCTorqueMax, 3.392
000001EA, TCLeftSlip, -0.999
000001EA, TCRightSlip, -0.999
000001EA, TCTorqueAdjustment, 0.0
000001F0, ThrottlePercent, 0
000001F0, BrakePercent, 8
000001F0, brakePressure, 10
000001F0, SteeringAngle, -102
000001F0, BrakeWhileThrottle, 0
000001F7, StateBatteryChargeHV, 92.80000000000001
000001F7, StateBatteryHealthHV, 0.0
000001F7, StateBatteryPowerHV, 331.90000000000003
000001F7, TempCellMax, 156.0
000001F7, TempCellMin, 55.0
000001F7, StateBMS, Wait_System_Up
00000209, VCU_wheelSpeed_RL, 0.0
00000209, VCU_wheelSpeed_RR, 0.0
0000020A, VoltageBusLV, 12163
0000020A, CurrentBusLV, 364
0000020B, RLSpeedKPH, 0.0
0000020B, RRSpeedKPH, 0.0
0000020B, FLSpeedKPH, 0.0
0000020B, FRSpeedKPH, 0.0
0000020D, VoltageCellMuxSelect, 11
0000020D, VoltageCell34, 3.7253000000000003
0000020D, VoltageCell35, 3.7256
0000020D, VoltageCell36, 3.7287000000000003
0000020D, TCTorqueMax, 3.392
0000020D, TCLeftSlip, -0.999
0000020D, TCRightSlip, -0.999
0000020D, TCTorqueAdjustment, 0.0
0000020E, AdjustedVoltageCellMuxSelect, 11
0000020E, AdjustedVoltageCell34, 3.7252
0000020E, AdjustedVoltageCell35, 3.7255000000000003
0000020E, AdjustedVoltageCell36, 3.7287000000000003
00000213, TempChannelMuxSelect, 11
00000213, TempChannel34, 0.0
00000213, TempChannel35, 0.0
00000213, TempChannel36, 0.0
00000222, ThrottlePercent, 0
00000222, BrakePercent, 8
00000222, brakePressure, 10
00000222, SteeringAngle, -102
00000222, BrakeWhileThrottle, 0
0000022C, VCU_wheelSpeed_RL, 0.0
0000022C, VCU_wheelSpeed_RR, 0.0
0000022E, RLSpeedKPH, 0.0
0000022E, RRSpeedKPH, 0.0
0000022E, FLSpeedKPH, 0.0
0000022E, FRSpeedKPH, 0.0
00000230, TCTorqueMax, 3.392
00000230, TCLeftSlip, -0.999
00000230, TCRightSlip, -0.999
00000230, TCTorqueAdjustment, 0.0
0000023D, VoltageCellMuxSelect, 12
0000023D, VoltageCell37, 3.7150000000000003
0000023D, VoltageCell38, 3.7822
0000023D, VoltageCell39, 3.7721
00000252, AdjustedVoltageCellMuxSelect, 12
00000252, AdjustedVoltageCell37, 3.7147
00000252, AdjustedVoltageCell38, 3.7825
00000252, AdjustedVoltageCell39, 3.7720000000000002
00000252, TempChannelMuxSelect, 12
00000252, TempChannel37, 0.0
00000252, TempChannel38, 0.0
00000252, TempChannel39, 0.0
00000252, VoltageBusHV, 0.02
00000252, VoltageCellMax, 3.9129
00000252, VoltageCellMin, 3.6942000000000004
00000252, CurrentBusHV, 0.01
00000252, VCU_wheelSpeed_RL, 0.0
00000252, VCU_wheelSpeed_RR, 0.0
00000252, AMS_PackVoltage, 525.58
00000252, RLSpeedKPH, 0.0
00000252, RRSpeedKPH, 0.0
00000252, FLSpeedKPH, 0.0
00000252, FRSpeedKPH, 0.0
00000253, TCTorqueMax, 3.392
00000253, TCLeftSlip, -0.999
00000253, TCRightSlip, -0.999
00000253, TCTorqueAdjustment, 0.0
00000254, ThrottlePercent, 0
00000254, BrakePercent, 6
00000254, brakePressure, 10
00000254, SteeringAngle, -102
00000254, BrakeWhileThrottle, 0
00000264, StateBatteryChargeHV, 92.80000000000001
00000264, StateBatteryHealthHV, 0.0
00000264, StateBatteryPowerHV, 331.90000000000003
00000264, TempCellMax, 156.0
00000264, TempCellMin, 55.0
00000264, StateBMS, Wait_System_Up
0000026F, VoltageCellMuxSelect, 13
0000026F, VoltageCell40, 3.7732
0000026F, VoltageCell41, 3.7922000000000002
0000026F, VoltageCell42, 3.8232000000000004
00000270, AdjustedVoltageCellMuxSelect, 13
00000270, AdjustedVoltageCell40, 3.7732
00000270, AdjustedVoltageCell41, 3.7921
00000270, AdjustedVoltageCell42, 3.8232000000000004
00000272, VCU_wheelSpeed_RL, 0.0
00000272, VCU_wheelSpeed_RR, 0.0
00000274, TempChannelMuxSelect, 13
00000274, TempChannel40, 0.0
00000274, TempChannel41, 0.0
00000274, TempChannel42, 21.549999999999997
00000274, RLSpeedKPH, 0.0
00000274, RRSpeedKPH, 0.0
00000274, FLSpeedKPH, 0.0
00000274, FRSpeedKPH, 0.0
00000276, TCTorqueMax, 3.392
00000276, TCLeftSlip, -0.999
00000276, TCRightSlip, -0.999
00000276, TCTorqueAdjustment, 0.0
00000286, ThrottlePercent, 0
00000286, BrakePercent, 5
00000286, brakePressure, 10
00000286, SteeringAngle, -102
00000286, BrakeWhileThrottle, 0
00000295, VCU_wheelSpeed_RL, 0.0
00000295, VCU_wheelSpeed_RR, 0.0
00000297, RLSpeedKPH, 0.0
00000297, RRSpeedKPH, 0.0
00000297, FLSpeedKPH, 0.0
00000297, FRSpeedKPH, 0.0
00000299, TCTorqueMax, 3.392
00000299, TCLeftSlip, -0.999
00000299, TCRightSlip, -0.999
00000299, TCTorqueAdjustment, 0.0
000002A0, VoltageCellMuxSelect, 14
000002A0, VoltageCell43, 3.8241
000002A0, VoltageCell44, 3.8221000000000003
000002A0, VoltageCell45, 3.8244000000000002
000002A4, AdjustedVoltageCellMuxSelect, 14
000002A4, AdjustedVoltageCell43, 3.8241
000002A4, AdjustedVoltageCell44, 3.8221000000000003
000002A4, AdjustedVoltageCell45, 3.8244000000000002
000002A5, TempChannelMuxSelect, 14
000002A5, TempChannel43, 21.450000000000003
000002A5, TempChannel44, 21.39
000002A5, TempChannel45, 21.49000000000001
000002B5, VoltageBusHV, 0.0
000002B5, VoltageCellMax, 3.9130000000000003
000002B5, VoltageCellMin, 3.6943
000002B5, CurrentBusHV, 0.0
000002B6, AMS_PackVoltage, 525.58
000002B8, ThrottlePercent, 0
000002B8, BrakePercent, 9
000002B8, brakePressure, 10
000002B8, SteeringAngle, -102
000002B8, BrakeWhileThrottle, 0
000002B9, VCU_wheelSpeed_RL, 0.0
000002B9, VCU_wheelSpeed_RR, 0.0
000002BA, RLSpeedKPH, 0.0
000002BA, RRSpeedKPH, 0.0
000002BA, FLSpeedKPH, 0.0
000002BA, FRSpeedKPH, 0.0
000002BC, TCTorqueMax, 3.392
000002BC, TCLeftSlip, -0.999
000002BC, TCRightSlip, -0.999
000002BC, TCTorqueAdjustment, 0.0
000002D1, StateBatteryChargeHV, 92.80000000000001
000002D1, StateBatteryHealthHV, 0.0
000002D1, StateBatteryPowerHV, 331.90000000000003
000002D1, TempCellMax, 156.0
000002D1, TempCellMin, 55.0
000002D1, StateBMS, Wait_System_Up
000002D3, VoltageCellMuxSelect, 15
000002D3, VoltageCell46, 3.8265000000000002
000002D3, VoltageCell47, 3.7937000000000003
000002D3, VoltageCell48, 3.9130000000000003
000002D5, AdjustedVoltageCellMuxSelect, 15
000002D5, AdjustedVoltageCell46, 3.8264
000002D5, AdjustedVoltageCell47, 3.7936
000002D5, AdjustedVoltageCell48, 3.9131
000002D6, TempChannelMuxSelect, 15
000002D6, TempChannel46, 21.290000000000006
000002D6, TempChannel47, 21.370000000000005
000002D6, TempChannel48, 0.0
000002DB, VCU_wheelSpeed_RL, 0.0
000002DB, VCU_wheelSpeed_RR, 0.0
000002DD, RLSpeedKPH, 0.0
000002DD, RRSpeedKPH, 0.0
000002DD, FLSpeedKPH, 0.0
000002DD, FRSpeedKPH, 0.0
000002DF, TCTorqueMax, 3.392
000002DF, TCLeftSlip, -0.999
000002DF, TCRightSlip, -0.999
000002DF, TCTorqueAdjustment, 0.0
000002EA, ThrottlePercent, 0
000002EA, BrakePercent, 6
000002EA, brakePressure, 10
000002EA, SteeringAngle, -102
000002EA, BrakeWhileThrottle, 0
000002FE, VCU_wheelSpeed_RL, 0.0
000002FE, VCU_wheelSpeed_RR, 0.0
00000300, RLSpeedKPH, 0.0
00000300, RRSpeedKPH, 0.0
00000300, FLSpeedKPH, 0.0
00000300, FRSpeedKPH, 0.0
00000302, TCTorqueMax, 3.392
00000302, TCLeftSlip, -0.999
00000302, TCRightSlip, -0.999
00000302, TCTorqueAdjustment, 0.0
00000304, VoltageCellMuxSelect, 16
00000304, VoltageCell49, 3.8833
00000304, VoltageCell50, 3.8809
00000304, VoltageCell51, 3.7896
00000309, AdjustedVoltageCellMuxSelect, 16
00000309, AdjustedVoltageCell49, 3.8833
00000309, AdjustedVoltageCell50, 3.8808000000000002
00000309, AdjustedVoltageCell51, 3.7889000000000004
0000030B, TempChannelMuxSelect, 16
0000030B, TempChannel49, 0.0
0000030B, TempChannel50, 0.0
0000030B, TempChannel51, 0.0
0000031C, VoltageBusHV, 0.02
0000031C, VoltageCellMax, 3.9130000000000003
0000031C, VoltageCellMin, 3.6943
0000031C, CurrentBusHV, 0.01
0000031C, ThrottlePercent, 0
0000031C, BrakePercent, 9
0000031C, brakePressure, 10
0000031C, SteeringAngle, -102
0000031C, BrakeWhileThrottle, 0
0000031D, AMS_PackVoltage, 525.58
00000321, VCU_wheelSpeed_RL, 0.0
00000321, VCU_wheelSpeed_RR, 0.0
00000323, RLSpeedKPH, 0.0
00000323, RRSpeedKPH, 0.0
00000323, FLSpeedKPH, 0.0
00000323, FRSpeedKPH, 0.0
00000325, TCTorqueMax, 3.392
00000325, TCLeftSlip, -0.999
00000325, TCRightSlip, -0.999
00000325, TCTorqueAdjustment, 0.0
0000033E, StateBatteryChargeHV, 92.80000000000001
0000033E, StateBatteryHealthHV, 0.0
0000033E, StateBatteryPowerHV, 331.90000000000003
0000033E, TempCellMax, 156.0
0000033E, TempCellMin, 55.0
0000033E, StateBMS, Wait_System_Up
0000033E, VoltageCellMuxSelect, 17
0000033E, VoltageCell52, 3.8151
0000033E, VoltageCell53, 3.8152000000000004
0000033E, VoltageCell54, 3.8155
00000340, AdjustedVoltageCellMuxSelect, 17
00000340, AdjustedVoltageCell52, 3.8150000000000004
00000340, AdjustedVoltageCell53, 3.8152000000000004
00000340, AdjustedVoltageCell54, 3.8155
00000342, TempChannelMuxSelect, 17
00000342, TempChannel52, 0.0
00000342, TempChannel53, 0.0
00000342, TempChannel54, 0.0
00000344, VCU_wheelSpeed_RL, 0.0
00000344, VCU_wheelSpeed_RR, 0.0
00000346, RLSpeedKPH, 0.0
00000346, RRSpeedKPH, 0.0
00000346, FLSpeedKPH, 0.0
00000346, FRSpeedKPH, 0.0
00000348, TCTorqueMax, 3.392
00000348, TCLeftSlip, -0.999
00000348, TCRightSlip, -0.999
00000348, TCTorqueAdjustment, 0.0
0000034E, ThrottlePercent, 0
0000034E, BrakePercent, 7
0000034E, brakePressure, 10
0000034E, SteeringAngle, -102
0000034E, BrakeWhileThrottle, 0
00000367, VCU_wheelSpeed_RL, 0.0
00000367, VCU_wheelSpeed_RR, 0.0
00000369, RLSpeedKPH, 0.0
00000369, RRSpeedKPH, 0.0
00000369, FLSpeedKPH, 0.0
00000369, FRSpeedKPH, 0.0
0000036A, VoltageCellMuxSelect, 18
0000036A, VoltageCell55, 3.8161
0000036A, VoltageCell56, 3.8177000000000003
0000036A, VoltageCell57, 3.7920000000000003
0000036B, TCTorqueMax, 3.392
0000036B, TCLeftSlip, -0.999
0000036B, TCRightSlip, -0.999
0000036B, TCTorqueAdjustment, 0.0
0000036C, AdjustedVoltageCellMuxSelect, 18
0000036C, AdjustedVoltageCell55, 3.8162000000000003
0000036C, AdjustedVoltageCell56, 3.8178
0000036C, AdjustedVoltageCell57, 3.7906
00000370, TempChannelMuxSelect, 18
00000370, TempChannel55, 21.60000000000001
00000370, TempChannel56, 21.60000000000001
00000370, TempChannel57, 21.60000000000001
00000380, ThrottlePercent, 0
00000380, BrakePercent, 7
00000380, brakePressure, 10
00000380, SteeringAngle, -102
00000380, BrakeWhileThrottle, 0
00000383, VoltageBusHV, 0.03
00000383, VoltageCellMax, 3.9129
00000383, VoltageCellMin, 3.6944000000000004
00000383, CurrentBusHV, 0.01
00000384, AMS_PackVoltage, 525.59
0000038A, VCU_wheelSpeed_RL, 0.0
0000038A, VCU_wheelSpeed_RR, 0.0
0000038C, RLSpeedKPH, 0.0
0000038C, RRSpeedKPH, 0.0
0000038C, FLSpeedKPH, 0.0
0000038C, FRSpeedKPH, 0.0
0000038E, TCTorqueMax, 3.392
0000038E, TCLeftSlip, -0.999
0000038E, TCRightSlip, -0.999
0000038E, TCTorqueAdjustment, 0.0
0000039A, PDU_Heartbeat_dummydata, 0
0000039B, ChannelCurrentFanLeft, 0.0
0000039B, ChannelCurrentFanRight, 0.0
0000039B, ChannelCurrentPumpLeft, 0.0
0000039B, ChannelCurrentPumpRight, 0.0
0000039C, ChannelCurrentBMU, 0.3
0000039C, ChannelCurrentDCU, 0.06
0000039C, ChannelCurrentVCU, 0.48
0000039C, ChannelCurrentWSB, 0.42
0000039C, ChannelCurrentAUX, 0.0
0000039C, ChannelCurrentBrakeLight, 0.0
0000039C, ChannelCurrentMCLeft, 0.0
0000039C, ChannelCurrentMCRight, 0.0
0000039C, CarStateIsLV, -1
0000039C, CarStateIsEM, 0
0000039C, CarStateIsHV, 0
000003A4, DCU_Heartbeat_dummydata, 0
000003AB, StateBatteryChargeHV, 92.80000000000001
000003AB, StateBatteryHealthHV, 0.0
000003AB, StateBatteryPowerHV, 331.90000000000003
000003AB, TempCellMax, 156.0
000003AB, TempCellMin, 55.0
000003AB, StateBMS, Wait_System_Up
000003AB, VoltageCellMuxSelect, 19
000003AB, VoltageCell58, 3.9084000000000003
000003AB, VoltageCell59, 3.8704
000003AB, VoltageCell60, 3.8802000000000003
000003AD, VCU_wheelSpeed_RL, 0.0
000003AD, VCU_wheelSpeed_RR, 0.0
000003AE, AdjustedVoltageCellMuxSelect, 19
000003AE, AdjustedVoltageCell58, 3.9096
000003AE, AdjustedVoltageCell59, 3.8704
000003AE, AdjustedVoltageCell60, 3.8801
000003AF, RLSpeedKPH, 0.0
000003AF, RRSpeedKPH, 0.0
000003AF, FLSpeedKPH, 0.0
000003AF, FRSpeedKPH, 0.0
000003B0, TempChannelMuxSelect, 19
000003B0, TempChannel58, 21.60000000000001
000003B0, TempChannel59, 21.60000000000001
000003B0, TempChannel60, 21.60000000000001
000003B1, TCTorqueMax, 3.392
000003B1, TCLeftSlip, -0.999
000003B1, TCRightSlip, -0.999
000003B1, TCTorqueAdjustment, 0.0
000003B2, ThrottlePercent, 0
000003B2, BrakePercent, 8
000003B2, brakePressure, 10
000003B2, SteeringAngle, -102
000003B2, BrakeWhileThrottle, 0
000003CC, BMU_Heartbeat_dummydata, 0
000003CC, BrakePressureBMU, 483.0
000003CD, FanPeriod, -112
000003CD, VoltageCellMuxSelect, 20
000003CD, VoltageCell61, 3.7148000000000003
000003CD, VoltageCell62, 3.7242
000003CD, VoltageCell63, 3.7255000000000003
000003CE, AdjustedVoltageCellMuxSelect, 20
000003CE, AdjustedVoltageCell61, 3.7142000000000004
000003CE, AdjustedVoltageCell62, 3.7242
000003CE, AdjustedVoltageCell63, 3.7254
000003D0, VCU_wheelSpeed_RL, 0.0
000003D0, VCU_wheelSpeed_RR, 0.0
000003E4, TempChannelMuxSelect, 20
000003E4, TempChannel61, 21.60000000000001
000003E4, TempChannel62, 21.60000000000001
000003E4, TempChannel63, 0.0
000003E4, RLSpeedKPH, 0.0
000003E4, RRSpeedKPH, 0.0
000003E4, FLSpeedKPH, 0.0
000003E4, FRSpeedKPH, 0.0
000003E4, TCTorqueMax, 3.392
000003E4, TCLeftSlip, -0.999
000003E4, TCRightSlip, -0.999
000003E4, TCTorqueAdjustment, 0.0
000003E4, VCU_Heartbeat_dummydata, 0
000003E5, ThrottlePercent, 0
000003E5, BrakePercent, 8
000003E5, brakePressure, 10
000003E5, SteeringAngle, -102
000003E5, BrakeWhileThrottle, 0
000003EB, VoltageBusHV, 0.04
000003EB, VoltageCellMax, 3.9129
000003EB, VoltageCellMin, 3.6945
000003EB, CurrentBusHV, 0.01
000003EC, AMS_PackVoltage, 525.59
000003F3, VCU_wheelSpeed_RL, 0.0
000003F3, VCU_wheelSpeed_RR, 0.0
000003F5, RLSpeedKPH, 0.0
000003F5, RRSpeedKPH, 0.0
000003F5, FLSpeedKPH, 0.0
000003F5, FRSpeedKPH, 0.0
000003F7, TCTorqueMax, 3.392
000003F7, TCLeftSlip, -0.999
000003F7, TCRightSlip, -0.999
000003F7, TCTorqueAdjustment, 0.0
000003FE, VoltageBusLV, 12173
000003FE, CurrentBusLV, 368
000003FE, VoltageCellMuxSelect, 21
000003FE, VoltageCell64, 3.7272000000000003
000003FE, VoltageCell65, 3.7265
000003FE, VoltageCell66, 3.729
00000400, AdjustedVoltageCellMuxSelect, 21
00000400, AdjustedVoltageCell64, 3.7271
00000400, AdjustedVoltageCell65, 3.7265
00000400, AdjustedVoltageCell66, 3.729
00000416, ThrottlePercent, 0
00000416, BrakePercent, 8
00000416, brakePressure, 10
00000416, SteeringAngle, -102
00000416, BrakeWhileThrottle, 0
00000417, VCU_wheelSpeed_RL, 0.0
00000417, VCU_wheelSpeed_RR, 0.0
00000418, RLSpeedKPH, 0.0
