00000135, BMU_checkFailed, BSPD_FAILED
0000015E, TempCellMin, 55.0
0000015E, StateBMS, Wait_System_Up
0000015E, HighestTempThermistor, 0
0000015E, TempChannelMuxSelect, 6
0000015E, TempChannel19, 0.0
0000015E, TempChannel20, 0.0
0000015E, TempChannel21, 0.0
0000015E, VCU_wheelSpeed_RL, 0.0
0000015E, VCU_wheelSpeed_RR, 0.0
0000015E, RLSpeedKPH, 0.0
0000015E, RRSpeedKPH, 0.0
0000015E, FLSpeedKPH, 0.0
0000015E, FRSpeedKPH, 0.0
0000018D, TCTorqueMax, 3.392
0000018D, TCLeftSlip, -0.999
0000018D, TCRightSlip, -0.999
0000018D, TCTorqueAdjustment, 0.0
0000018D, IVT_MsgID_RX, 0
0000018D, IVT_MsgCount, 10
0000018D, IVT_Result_state, 0
0000018D, IVT_I, 0.0
0000018D, IVT_MsgID_RX, 7
0000018D, IVT_MsgCount, 7
0000018D, IVT_Result_state, 0
0000018D, IVT_Wh, 0
0000018D, VoltageCellMuxSelect, 7
0000018D, VoltageCell22, 3.1772
0000018D, VoltageCell23, 3.1785
0000018D, VoltageCell24, 3.1848
0000018D, AdjustedVoltageCellMuxSelect, 7
0000018D, AdjustedVoltageCell22, 3.1771000000000003
0000018D, AdjustedVoltageCell23, 3.1784000000000003
0000018D, AdjustedVoltageCell24, 3.1847000000000003
0000018D, TempChannelMuxSelect, 7
0000018D, TempChannel22, 0.0
0000018D, TempChannel23, 0.0
0000018D, TempChannel24, 0.0
0000018D, IVT_MsgID_RX, 0
0000018D, IVT_MsgCount, 11
0000018D, IVT_Result_state, 0
0000018D, IVT_I, -0.002
0000018D, ChannelCurrentRadiator, 0.214
0000018D, ChannelCurrentAccFan, 0.214
0000018D, ChannelCurrentPump1, 0.0
0000018D, ChannelCurrentPump2, 0.201
0000018E, ChannelCurrentAUX1, 0.0
0000018E, ChannelCurrentAUX2, 0.187
0000018E, ChannelCurrentAUX3, 0.0
0000018E, ChannelCurrentAUX4, 0.214
0000018E, ChannelCurrentBMU, 0.496
0000018E, ChannelCurrentCDU, 0.389
0000018E, ChannelCurrentTCU, 0.362
0000018E, ChannelCurrentWSB, 0.362
0000018E, ChannelCurrentBrakeLight, 0.0
0000018E, ChannelCurrentInverter, 0.0
0000018F, VCU_wheelSpeed_RL, 0.0
0000018F, VCU_wheelSpeed_RR, 0.0
0000018F, RLSpeedKPH, 0.0
0000018F, RRSpeedKPH, 0.0
0000018F, FLSpeedKPH, 0.0
0000018F, FRSpeedKPH, 0.0
00000190, TCTorqueMax, 3.392
00000190, TCLeftSlip, -0.999
00000190, TCRightSlip, -0.999
00000190, TCTorqueAdjustment, 0.0
00000190, IVT_MsgID_RX, 0
00000190, IVT_MsgCount, 12
00000190, IVT_Result_state, 0
00000190, IVT_I, 0.001
00000190, IVT_MsgID_RX, 1
00000190, IVT_MsgCount, 4
00000190, IVT_Result_state, 0
00000190, IVT_U1, -0.039
00000190, IVT_MsgID_RX, 2
00000190, IVT_MsgCount, 4
00000190, IVT_Result_state, 0
00000190, IVT_U2, 0.049
00000190, IVT_MsgID_RX, 3
00000190, IVT_MsgCount, 4
00000190, IVT_Result_state, 0
00000190, IVT_U3, 0.029
00000190, IVT_MsgID_RX, 7
00000190, IVT_MsgCount, 8
00000190, IVT_Result_state, 0
00000190, IVT_Wh, 0
000001BF, IVT_MsgID_RX, 0
000001BF, IVT_MsgCount, 13
000001BF, IVT_Result_state, 0
000001BF, IVT_I, -0.002
000001BF, BMU_checkFailed, BSPD_FAILED
000001BF, BMU_InterlockInitialized, 0
000001BF, VoltageCellMuxSelect, 8
000001BF, VoltageCell25, 2.9797000000000002
000001BF, VoltageCell26, 3.1764
000001BF, VoltageCell27, 3.2243
000001BF, AdjustedVoltageCellMuxSelect, 8
000001BF, AdjustedVoltageCell25, 2.9797000000000002
000001BF, AdjustedVoltageCell26, 3.1763000000000003
000001BF, AdjustedVoltageCell27, 3.2242
000001BF, VCU_wheelSpeed_RL, 0.0
000001BF, VCU_wheelSpeed_RR, 0.0
000001BF, TempChannelMuxSelect, 8
000001BF, TempChannel25, 0.0
000001BF, TempChannel26, 0.0
000001BF, TempChannel27, 0.0
000001C1, RLSpeedKPH, 0.0
000001C1, RRSpeedKPH, 0.0
000001C1, FLSpeedKPH, 0.0
000001C1, FRSpeedKPH, 0.0
000001C1, VoltageBusHV, 0.0
000001C1, VoltageCellMax, 3.5396
000001C1, VoltageCellMin, 2.9659
000001C1, CurrentBusHV, 0.0
000001C1, IVT_MsgID_RX, 7
000001C1, IVT_MsgCount, 9
000001C1, IVT_Result_state, 0
000001C1, IVT_Wh, 0
000001C1, TCTorqueMax, 3.392
000001C1, TCLeftSlip, -0.999
000001C1, TCRightSlip, -0.999
000001C1, TCTorqueAdjustment, 0.0
000001C1, AMS_PackVoltage, 457.86
000001C1, IVT_MsgID_RX, 0
000001C1, IVT_MsgCount, 14
000001C1, IVT_Result_state, 0
000001C1, IVT_I, 0.004
000001F1, IVT_MsgID_RX, 0
000001F1, IVT_MsgCount, 15
000001F1, IVT_Result_state, 0
000001F1, IVT_I, -0.001
000001F1, IVT_MsgID_RX, 1
000001F1, IVT_MsgCount, 5
000001F1, IVT_Result_state, 0
000001F1, IVT_U1, 0.014
000001F1, IVT_MsgID_RX, 2
000001F1, IVT_MsgCount, 5
000001F1, IVT_Result_state, 0
000001F1, IVT_U2, 0.004
000001F1, IVT_MsgID_RX, 3
000001F1, IVT_MsgCount, 5
000001F1, IVT_Result_state, 0
000001F1, IVT_U3, -0.006
000001F1, IVT_MsgID_RX, 7
000001F1, IVT_MsgCount, 10
000001F1, IVT_Result_state, 0
000001F1, IVT_Wh, 0
000001F1, VCU_wheelSpeed_RL, 0.0
000001F1, VCU_wheelSpeed_RR, 0.0
000001F1, RLSpeedKPH, 0.0
000001F1, RRSpeedKPH, 0.0
000001F1, FLSpeedKPH, 0.0
000001F1, FRSpeedKPH, 0.0
000001F1, TCTorqueMax, 3.392
000001F1, TCLeftSlip, -0.999
000001F1, TCRightSlip, -0.999
000001F1, TCTorqueAdjustment, 0.0
000001F3, StateBatteryChargeHV, 16.7
000001F3, StateBatteryHealthHV, 0.0
000001F3, StateBatteryPowerHV, 331.90000000000003
000001F3, TempCellMax, 156.0
000001F3, TempCellMin, 55.0
000001F3, StateBMS, Wait_System_Up
000001F3, HighestTempThermistor, 0
000001F3, VoltageCellMuxSelect, 9
000001F3, VoltageCell28, 3.4422
000001F3, VoltageCell29, 3.4178
000001F3, VoltageCell30, 3.4202000000000004
000001F3, AdjustedVoltageCellMuxSelect, 9
000001F3, AdjustedVoltageCell28, 3.4427000000000003
000001F3, AdjustedVoltageCell29, 3.4177
000001F3, AdjustedVoltageCell30, 3.4200000000000004
000001F3, TempChannelMuxSelect, 9
000001F3, TempChannel28, 24.08
000001F3, TempChannel29, 24.090000000000003
000001F3, TempChannel30, 23.86
000001F3, IVT_MsgID_RX, 0
000001F3, IVT_MsgCount, 0
000001F3, IVT_Result_state, 0
000001F3, IVT_I, 0.001
000001F4, ChannelCurrentRadiator, 0.201
000001F4, ChannelCurrentAccFan, 0.187
000001F4, ChannelCurrentPump1, 0.0
000001F4, ChannelCurrentPump2, 0.161
000001F4, ChannelCurrentAUX1, 0.0
000001F4, ChannelCurrentAUX2, 0.161
000001F4, ChannelCurrentAUX3, 0.0
000001F4, ChannelCurrentAUX4, 0.214
000001F4, ChannelCurrentBMU, 0.523
000001F4, ChannelCurrentCDU, 0.362
000001F4, ChannelCurrentTCU, 0.362
000001F4, ChannelCurrentWSB, 0.402
000001F4, ChannelCurrentBrakeLight, 0.0
000001F4, ChannelCurrentInverter, 0.0
000001F4, IVT_MsgID_RX, 7
000001F4, IVT_MsgCount, 11
000001F4, IVT_Result_state, 0
000001F4, IVT_Wh, 0
000001F4, VCU_wheelSpeed_RL, 0.0
000001F4, VCU_wheelSpeed_RR, 0.0
000001F4, RLSpeedKPH, 0.0
000001F4, RRSpeedKPH, 0.0
000001F4, FLSpeedKPH, 0.0
000001F4, FRSpeedKPH, 0.0
000001F4, IVT_MsgID_RX, 0
000001F4, IVT_MsgCount, 1
000001F4, IVT_Result_state, 0
000001F4, IVT_I, -0.002
000001F5, TCTorqueMax, 3.392
000001F5, TCLeftSlip, -0.999
000001F5, TCRightSlip, -0.999
000001F5, TCTorqueAdjustment, 0.0
00000223, IVT_MsgID_RX, 0
00000223, IVT_MsgCount, 2
00000223, IVT_Result_state, 0
00000223, IVT_I, 0.0
00000228, IVT_MsgID_RX, 1
00000228, IVT_MsgCount, 6
00000228, IVT_Result_state, 0
00000228, IVT_U1, -0.002
00000228, BMU_checkFailed, BSPD_FAILED
00000228, BMU_InterlockInitialized, 0
00000228, IVT_MsgID_RX, 2
00000228, IVT_MsgCount, 6
00000228, IVT_Result_state, 0
00000228, IVT_U2, 0.062
00000228, IVT_MsgID_RX, 3
00000228, IVT_MsgCount, 6
00000228, IVT_Result_state, 0
00000228, IVT_U3, 0.029
00000228, IVT_MsgID_RX, 7
00000228, IVT_MsgCount, 12
00000228, IVT_Result_state, 0
00000228, IVT_Wh, 0
00000228, AdjustedVoltageCellMuxSelect, 10
00000228, AdjustedVoltageCell31, 2.966
00000228, AdjustedVoltageCell32, 3.176
00000228, AdjustedVoltageCell33, 3.1827
00000228, TempChannelMuxSelect, 10
00000228, TempChannel31, 0.0
00000228, TempChannel32, 0.0
00000228, TempChannel33, 0.0
00000229, VCU_wheelSpeed_RL, 0.0
00000229, VCU_wheelSpeed_RR, 0.0
00000229, VoltageBusHV, 0.0
00000229, VoltageCellMax, 3.5396
00000229, VoltageCellMin, 2.966
00000229, CurrentBusHV, 0.0
00000229, RLSpeedKPH, 0.0
00000229, RRSpeedKPH, 0.0
00000229, FLSpeedKPH, 0.0
00000229, FRSpeedKPH, 0.0
00000229, AMS_PackVoltage, 457.86
00000229, TCTorqueMax, 3.392
00000229, TCLeftSlip, -0.999
00000229, TCRightSlip, -0.999
00000229, TCTorqueAdjustment, 0.0
00000229, IVT_MsgID_RX, 0
00000229, IVT_MsgCount, 3
00000229, IVT_Result_state, 0
00000229, IVT_I, 0.008
0000022B, ThrottlePercent, 0
0000022B, BrakePercent, 9
0000022B, brakePressure, 10
0000022B, SteeringAngle, -58
0000022B, BrakeWhileThrottle, 0
0000022B, IVT_MsgID_RX, 7
0000022B, IVT_MsgCount, 13
0000022B, IVT_Result_state, 0
0000022B, IVT_Wh, 0
00000255, IVT_MsgID_RX, 0
00000255, IVT_MsgCount, 4
00000255, IVT_Result_state, 0
00000255, IVT_I, -0.001
00000255, VCU_wheelSpeed_RL, 0.0
00000255, VCU_wheelSpeed_RR, 0.0
00000255, RLSpeedKPH, 0.0
00000255, RRSpeedKPH, 0.0
00000255, FLSpeedKPH, 0.0
00000255, FRSpeedKPH, 0.0
00000255, VoltageBusLV, 12.134
00000255, CurrentBusLV, 0.0
00000255, PowerBusLV, 0
00000255, TCTorqueMax, 3.392
00000255, TCLeftSlip, -0.999
00000255, TCRightSlip, -0.999
00000255, TCTorqueAdjustment, 0.0
00000255, IVT_MsgID_RX, 1
00000255, IVT_MsgCount, 7
00000255, IVT_Result_state, 0
00000255, IVT_U1, -0.024
00000255, IVT_MsgID_RX, 2
00000255, IVT_MsgCount, 7
00000255, IVT_Result_state, 0
00000255, IVT_U2, 0.035
00000255, IVT_MsgID_RX, 3
00000255, IVT_MsgCount, 7
00000255, IVT_Result_state, 0
00000255, IVT_U3, 0.043000000000000003
00000255, IVT_MsgID_RX, 7
00000255, IVT_MsgCount, 14
00000255, IVT_Result_state, 0
00000255, IVT_Wh, 0
00000256, IVT_MsgID_RX, 0
00000256, IVT_MsgCount, 5
00000256, IVT_Result_state, 0
00000256, IVT_I, -0.001
00000256, ChannelCurrentRadiator, 0.241
00000256, ChannelCurrentAccFan, 0.228
00000256, ChannelCurrentPump1, 0.0
00000256, ChannelCurrentPump2, 0.241
00000256, ChannelCurrentAUX1, 0.0
00000256, ChannelCurrentAUX2, 0.214
00000256, ChannelCurrentAUX3, 0.0
00000256, ChannelCurrentAUX4, 0.214
00000256, ChannelCurrentBMU, 0.496
00000256, ChannelCurrentCDU, 0.375
00000256, ChannelCurrentTCU, 0.362
00000256, ChannelCurrentWSB, 0.389
00000258, ChannelCurrentBrakeLight, 0.0
00000258, ChannelCurrentInverter, 0.0
00000258, StateBatteryChargeHV, 16.7
00000258, StateBatteryHealthHV, 0.0
00000258, StateBatteryPowerHV, 331.90000000000003
00000258, TempCellMax, 156.0
00000258, TempCellMin, 55.0
00000258, StateBMS, Wait_System_Up
00000258, HighestTempThermistor, 0
00000258, VoltageCellMuxSelect, 11
00000258, VoltageCell34, 3.1802
00000258, VoltageCell35, 3.1772
00000258, VoltageCell36, 3.1697
00000258, AdjustedVoltageCellMuxSelect, 11
00000258, AdjustedVoltageCell34, 3.1801000000000004
00000258, AdjustedVoltageCell35, 3.1772
00000258, AdjustedVoltageCell36, 3.1695
00000258, ThrottlePercent, 0
00000258, BrakePercent, 10
00000258, brakePressure, 10
00000258, SteeringAngle, -58
00000258, BrakeWhileThrottle, 0
00000258, TempChannelMuxSelect, 11
00000258, TempChannel34, 0.0
00000258, TempChannel35, 0.0
00000258, TempChannel36, 0.0
00000258, IVT_MsgID_RX, 0
00000258, IVT_MsgCount, 6
00000258, IVT_Result_state, 0
00000258, IVT_I, 0.0
00000258, VCU_wheelSpeed_RL, 0.0
00000258, VCU_wheelSpeed_RR, 0.0
00000258, RLSpeedKPH, 0.0
00000258, RRSpeedKPH, 0.0
00000258, FLSpeedKPH, 0.0
00000258, FRSpeedKPH, 0.0
00000259, TCTorqueMax, 3.392
00000259, TCLeftSlip, -0.999
00000259, TCRightSlip, -0.999
00000259, TCTorqueAdjustment, 0.0
00000259, IVT_MsgID_RX, 7
00000259, IVT_MsgCount, 15
00000259, IVT_Result_state, 0
00000259, IVT_Wh, 0
00000287, IVT_MsgID_RX, 0
00000287, IVT_MsgCount, 7
00000287, IVT_Result_state, 0
00000287, IVT_I, -0.002
00000287, BMU_checkFailed, BSPD_FAILED
00000287, BMU_InterlockInitialized, 0
00000287, VoltageCellMuxSelect, 12
00000287, VoltageCell37, 3.2001
00000287, VoltageCell38, 3.426
00000287, VoltageCell39, 3.4169
00000287, AdjustedVoltageCellMuxSelect, 12
00000287, AdjustedVoltageCell37, 3.1998
00000287, AdjustedVoltageCell38, 3.4263000000000003
00000287, AdjustedVoltageCell39, 3.4168000000000003
00000288, TempChannelMuxSelect, 12
00000288, TempChannel37, 0.0
00000288, TempChannel38, 0.0
00000288, TempChannel39, 0.0
00000289, VCU_wheelSpeed_RL, 0.0
00000289, VCU_wheelSpeed_RR, 0.0
00000289, VoltageBusHV, 0.0
00000289, VoltageCellMax, 3.5396
00000289, VoltageCellMin, 2.966
00000289, CurrentBusHV, 0.0
00000289, IVT_MsgID_RX, 1
00000289, IVT_MsgCount, 8
00000289, IVT_Result_state, 0
00000289, IVT_U1, -0.076
00000289, IVT_MsgID_RX, 2
00000289, IVT_MsgCount, 8
00000289, IVT_Result_state, 0
00000289, IVT_U2, 0.002
00000289, AMS_PackVoltage, 457.86
00000289, IVT_MsgID_RX, 3
00000289, IVT_MsgCount, 8
00000289, IVT_Result_state, 0
00000289, IVT_U3, 0.022
00000289, RLSpeedKPH, 0.0
00000289, RRSpeedKPH, 0.0
00000289, FLSpeedKPH, 0.0
00000289, FRSpeedKPH, 0.0
0000028A, IVT_MsgID_RX, 7
0000028A, IVT_MsgCount, 0
0000028A, IVT_Result_state, 0
0000028A, IVT_Wh, 0
0000028A, IVT_MsgID_RX, 0
0000028A, IVT_MsgCount, 8
0000028A, IVT_Result_state, 0
0000028A, IVT_I, -0.002
0000028A, TCTorqueMax, 3.392
0000028A, TCLeftSlip, -0.999
0000028A, TCRightSlip, -0.999
0000028A, TCTorqueAdjustment, 0.0
0000028A, ThrottlePercent, 0
0000028A, BrakePercent, 10
0000028A, brakePressure, 10
0000028A, SteeringAngle, -58
0000028A, BrakeWhileThrottle, 0
0000028A, IVT_MsgID_RX, 0
0000028A, IVT_MsgCount, 9
0000028A, IVT_Result_state, 0
0000028A, IVT_I, -0.002
000002B9, IVT_MsgID_RX, 7
000002B9, IVT_MsgCount, 1
000002B9, IVT_Result_state, 0
000002B9, IVT_Wh, 0
000002B9, VCU_wheelSpeed_RL, 0.0
000002B9, VCU_wheelSpeed_RR, 0.0
000002B9, VoltageCellMuxSelect, 13
000002B9, VoltageCell40, 3.4147000000000003
000002B9, VoltageCell41, 3.3253000000000004
000002B9, VoltageCell42, 3.3625000000000003
000002B9, RLSpeedKPH, 0.0
000002B9, RRSpeedKPH, 0.0
000002B9, FLSpeedKPH, 0.0
000002B9, FRSpeedKPH, 0.0
000002B9, AdjustedVoltageCellMuxSelect, 13
000002B9, AdjustedVoltageCell40, 3.4146
000002B9, AdjustedVoltageCell41, 3.3251
000002B9, AdjustedVoltageCell42, 3.3624
000002B9, TCTorqueMax, 3.392
000002B9, TCLeftSlip, -0.999
000002B9, TCRightSlip, -0.999
000002B9, TCTorqueAdjustment, 0.0
000002B9, IVT_MsgID_RX, 0
000002B9, IVT_MsgCount, 10
000002B9, IVT_Result_state, 0
000002B9, IVT_I, -0.001
000002B9, TempChannelMuxSelect, 13
000002B9, TempChannel40, 0.0
000002B9, TempChannel41, 0.0
000002B9, TempChannel42, 24.230000000000004
000002BA, ChannelCurrentRadiator, 0.187
000002BA, ChannelCurrentAccFan, 0.214
000002BA, ChannelCurrentPump1, 0.0
000002BA, ChannelCurrentPump2, 0.214
000002BA, ChannelCurrentAUX1, 0.0
000002BA, ChannelCurrentAUX2, 0.201
000002BA, ChannelCurrentAUX3, 0.0
000002BA, ChannelCurrentAUX4, 0.241
000002BA, ChannelCurrentBMU, 0.51
000002BA, ChannelCurrentCDU, 0.375
000002BA, ChannelCurrentTCU, 0.362
000002BA, ChannelCurrentWSB, 0.375
000002BA, ChannelCurrentBrakeLight, 0.0
000002BA, ChannelCurrentInverter, 0.0
000002BA, ThrottlePercent, 0
000002BA, BrakePercent, 10
000002BA, brakePressure, 10
000002BA, SteeringAngle, -58
000002BA, BrakeWhileThrottle, 0
000002BA, IVT_MsgID_RX, 1
000002BA, IVT_MsgCount, 9
000002BA, IVT_Result_state, 0
000002BA, IVT_U1, 0.012
000002BA, IVT_MsgID_RX, 2
000002BA, IVT_MsgCount, 9
000002BA, IVT_Result_state, 0
000002BA, IVT_U2, 0.014
000002BC, IVT_MsgID_RX, 3
000002BC, IVT_MsgCount, 9
000002BC, IVT_Result_state, 0
000002BC, IVT_U3, 0.043000000000000003
000002BC, IVT_MsgID_RX, 7
000002BC, IVT_MsgCount, 2
000002BC, IVT_Result_state, 0
000002BC, IVT_Wh, 0
000002BC, IVT_MsgID_RX, 0
000002BC, IVT_MsgCount, 11
000002BC, IVT_Result_state, 0
000002BC, IVT_I, 0.0
000002BC, VCU_wheelSpeed_RL, 0.0
000002BC, VCU_wheelSpeed_RR, 0.0
000002BC, StateBatteryChargeHV, 16.7
000002BC, StateBatteryHealthHV, 0.0
000002BC, StateBatteryPowerHV, 331.90000000000003
000002BC, TempCellMax, 156.0
000002BC, TempCellMin, 55.0
000002BC, StateBMS, Wait_System_Up
000002BC, HighestTempThermistor, 0
000002BC, RLSpeedKPH, 0.0
000002BC, RRSpeedKPH, 0.0
000002BC, FLSpeedKPH, 0.0
000002BC, FRSpeedKPH, 0.0
000002EB, TCTorqueMax, 3.392
000002EB, TCLeftSlip, -0.999
000002EB, TCRightSlip, -0.999
000002EB, TCTorqueAdjustment, 0.0
000002EB, IVT_MsgID_RX, 0
000002EB, IVT_MsgCount, 12
000002EB, IVT_Result_state, 0
000002EB, IVT_I, 0.001
000002EB, BMU_checkFailed, BSPD_FAILED
000002EB, BMU_InterlockInitialized, 0
000002EB, VoltageCellMuxSelect, 14
000002EB, VoltageCell43, 3.365
000002EB, VoltageCell44, 3.3649
000002EB, VoltageCell45, 3.362
000002EB, AdjustedVoltageCellMuxSelect, 14
000002EB, AdjustedVoltageCell43, 3.365
000002EB, AdjustedVoltageCell44, 3.3648000000000002
000002EB, AdjustedVoltageCell45, 3.3619000000000003
000002EB, IVT_MsgID_RX, 7
000002EB, IVT_MsgCount, 3
000002EB, IVT_Result_state, 0
000002EB, IVT_Wh, 0
000002EB, TempChannelMuxSelect, 14
000002EB, TempChannel43, 24.33
000002EB, TempChannel44, 24.35000000000001
000002EB, TempChannel45, 24.53
000002ED, IVT_MsgID_RX, 0
000002ED, IVT_MsgCount, 13
000002ED, IVT_Result_state, 0
000002ED, IVT_I, 0.003
000002ED, VoltageBusHV, 0.01
000002ED, VoltageCellMax, 3.5396
000002ED, VoltageCellMin, 2.966
000002ED, CurrentBusHV, 0.0
000002ED, AMS_PackVoltage, 457.86
000002ED, ThrottlePercent, 0
000002ED, BrakePercent, 9
000002ED, brakePressure, 10
000002ED, SteeringAngle, -58
000002ED, BrakeWhileThrottle, 0
000002ED, VCU_wheelSpeed_RL, 0.0
000002ED, VCU_wheelSpeed_RR, 0.0
000002EE, RLSpeedKPH, 0.0
000002EE, RRSpeedKPH, 0.0
000002EE, FLSpeedKPH, 0.0
000002EE, FRSpeedKPH, 0.0
000002EE, TCTorqueMax, 3.392
000002EE, TCLeftSlip, -0.999
000002EE, TCRightSlip, -0.999
000002EE, TCTorqueAdjustment, 0.0
000002EE, IVT_MsgID_RX, 1
000002EE, IVT_MsgCount, 10
000002EE, IVT_Result_state, 0
000002EE, IVT_U1, -0.012
000002EE, IVT_MsgID_RX, 2
000002EE, IVT_MsgCount, 10
000002EE, IVT_Result_state, 0
000002EE, IVT_U2, 0.037
000002EE, IVT_MsgID_RX, 3
000002EE, IVT_MsgCount, 10
000002EE, IVT_Result_state, 0
000002EE, IVT_U3, 0.006
000002EE, IVT_MsgID_RX, 7
000002EE, IVT_MsgCount, 4
000002EE, IVT_Result_state, 0
000002EE, IVT_Wh, 0
000002EE, IVT_MsgID_RX, 0
000002EE, IVT_MsgCount, 14
000002EE, IVT_Result_state, 0
000002EE, IVT_I, 0.001
0000031D, VoltageCellMuxSelect, 15
0000031D, VoltageCell46, 3.3663000000000003
0000031D, VoltageCell47, 3.3332
0000031D, VoltageCell48, 3.5396
0000031D, AdjustedVoltageCellMuxSelect, 15
0000031D, AdjustedVoltageCell46, 3.3661000000000003
0000031D, AdjustedVoltageCell47, 3.3329
0000031D, AdjustedVoltageCell48, 3.5396
0000031D, IVT_MsgID_RX, 0
0000031D, IVT_MsgCount, 15
0000031D, IVT_Result_state, 0
0000031D, IVT_I, -0.001
0000031E, VCU_wheelSpeed_RL, 0.0
0000031E, VCU_wheelSpeed_RR, 0.0
0000031E, TempChannelMuxSelect, 15
0000031E, TempChannel46, 24.22
0000031E, TempChannel47, 0.0
0000031E, TempChannel48, 0.0
0000031F, RLSpeedKPH, 0.0
0000031F, RRSpeedKPH, 0.0
0000031F, FLSpeedKPH, 0.0
0000031F, FRSpeedKPH, 0.0
0000031F, TCTorqueMax, 3.392
0000031F, TCLeftSlip, -0.999
0000031F, TCRightSlip, -0.999
0000031F, TCTorqueAdjustment, 0.0
0000031F, ChannelCurrentRadiator, 0.17400000000000002
0000031F, ChannelCurrentAccFan, 0.201
0000031F, ChannelCurrentPump1, 0.0
0000031F, ChannelCurrentPump2, 0.214
0000031F, ChannelCurrentAUX1, 0.0
0000031F, ChannelCurrentAUX2, 0.201
0000031F, ChannelCurrentAUX3, 0.0
0000031F, ChannelCurrentAUX4, 0.214
0000031F, ChannelCurrentBMU, 0.537
0000031F, ChannelCurrentCDU, 0.389
0000031F, ChannelCurrentTCU, 0.322
0000031F, ChannelCurrentWSB, 0.429
0000031F, ChannelCurrentBrakeLight, 0.013000000000000001
0000031F, ChannelCurrentInverter, 0.0
0000031F, IVT_MsgID_RX, 7
0000031F, IVT_MsgCount, 5
0000031F, IVT_Result_state, 0
0000031F, IVT_Wh, 0
0000031F, ThrottlePercent, 0
0000031F, BrakePercent, 9
0000031F, brakePressure, 10
0000031F, SteeringAngle, -58
0000031F, BrakeWhileThrottle, 0
00000320, IVT_MsgID_RX, 0
00000320, IVT_MsgCount, 0
00000320, IVT_Result_state, 0
00000320, IVT_I, 0.0
0000034F, VCU_wheelSpeed_RL, 0.0
0000034F, VCU_wheelSpeed_RR, 0.0
0000034F, RLSpeedKPH, 0.0
0000034F, RRSpeedKPH, 0.0
0000034F, FLSpeedKPH, 0.0
0000034F, FRSpeedKPH, 0.0
0000034F, IVT_MsgID_RX, 1
0000034F, IVT_MsgCount, 11
0000034F, IVT_Result_state, 0
0000034F, IVT_U1, 0.006
0000034F, IVT_MsgID_RX, 2
0000034F, IVT_MsgCount, 11
0000034F, IVT_Result_state, 0
0000034F, IVT_U2, -0.004
00000350, IVT_MsgID_RX, 3
00000350, IVT_MsgCount, 11
00000350, IVT_Result_state, 0
00000350, IVT_U3, 0.029
00000351, TCTorqueMax, 3.392
00000351, TCLeftSlip, -0.999
00000351, TCRightSlip, -0.999
00000351, TCTorqueAdjustment, 0.0
00000351, IVT_MsgID_RX, 7
00000351, IVT_MsgCount, 6
00000351, IVT_Result_state, 0
00000351, IVT_Wh, 0
00000351, IVT_MsgID_RX, 0
00000351, IVT_MsgCount, 1
00000351, IVT_Result_state, 0
00000351, IVT_I, 0.003
00000351, StateBatteryChargeHV, 16.7
00000351, StateBatteryHealthHV, 0.0
00000351, StateBatteryPowerHV, 331.90000000000003
00000351, TempCellMax, 156.0
00000351, TempCellMin, 55.0
00000351, StateBMS, Wait_System_Up
00000351, HighestTempThermistor, 0
